contractSymbol,strike,bid,ask,change,percentChange,impliedVolatility,inTheMoney,bsmValuation,diff,delta,gamma,vega,rho,theta
AAPL240607C00100000,100.0,92.55,93.75,0.0,0.0,1.0000000000000003e-05,True,94.22665281014996,0.4766528101499574,1.0,4.2818622978270557e-29,2.0404467748250274e-26,866.6700386765297,-0.8210542064168895
AAPL240607C00110000,110.0,82.35,83.45,0.0,0.0,1.0000000000000003e-05,True,84.23031784702432,0.780317847024321,1.0,6.065030688518128e-22,2.890184561489014e-19,953.3370425441826,-0.9031596270585784
AAPL240607C00120000,120.0,72.3,73.3,0.0,0.0,1.0000000000000003e-05,True,74.2339828838987,0.9339828838987074,0.9999999999999997,2.231558748474875e-16,1.0634103888555373e-13,1040.004046411835,-0.9852650477006042
AAPL240607C00125000,125.0,67.3,68.5,0.0,0.0,1.0000000000000003e-05,True,69.23581540233599,0.7358154023359873,0.9999999999999322,4.396783235276953e-14,2.095210342606857e-11,1083.337548345547,-1.0263177580874665
AAPL240607C00130000,130.0,62.4,63.8,0.0,0.0,1.0000000000000003e-05,True,64.23764792078583,0.43764792078583525,0.9999999999923415,4.540845225470165e-12,2.16386057066622e-09,1126.671050266484,-1.0673704751937472
AAPL240607C00135000,135.0,57.3,58.5,0.0,0.0,1.0000000000000003e-05,True,59.23948044009788,0.7394804400978785,0.9999999995139817,2.62330733494345e-10,1.2500913431234302e-07,1170.0045513873572,-1.1084235744292257
AAPL240607C00140000,140.0,52.4,53.85,0.0,0.0,1.0000000000000003e-05,True,54.24131299453367,0.39131299453367063,0.9999999816413547,8.97268705043616e-09,4.275777472542211e-06,1213.3380229186607,-1.1494894228468453
AAPL240607C00145000,145.0,47.55,48.85,0.0,0.0,1.0000000000000003e-05,True,49.243146440906685,0.3931464409066834,0.9999995657533971,1.9097505618547723e-07,9.100583119252482e-05,1256.6708166169274,-1.1908165837705968
AAPL240607C00150000,150.0,42.45,43.8,0.0,0.0,1.0000000000000003e-05,True,44.24499462281807,0.4449946228180721,0.9999932720767079,2.6427485515692673e-06,0.0012593557157266674,1299.9935866935114,-1.235565319244006
AAPL240607C00155000,155.0,37.35,38.55,0.0,0.0,1.0000000000000003e-05,True,39.24700725167287,0.697007251672872,0.999928922867711,2.47174206771452e-05,0.011778655592980823,1343.2171885310368,-1.3098828106548959
AAPL240607C00160000,160.0,32.4,33.5,0.0,0.0,1.0000000000000003e-05,True,34.250301482973526,0.7503014829735264,0.9994691162408467,0.0001617225927398147,0.07706608008850649,1385.763885493029,-1.5572922504081568
AAPL240607C00165000,165.0,27.45,28.5,0.0,0.0,1.0000000000000003e-05,True,29.26077998622415,0.7607799862241507,0.9971028263195938,0.0007632706531937865,0.36372331343261655,1425.0385335255519,-2.503822196842708
AAPL240607C00167500,167.5,24.9,26.4,0.0,0.0,1.0000000000000003e-05,True,26.77452800690068,0.37452800690068244,0.993925730624259,0.0014798085944526154,0.7051769683115466,1441.2450648853364,-3.6023211688321393
AAPL240607C00170000,170.0,22.35,23.4,0.5999985,2.660747,1.0000000000000003e-05,True,24.30100114390882,0.9010011439088217,0.9880933146401717,0.0026707419487337508,1.2726954807605997,1452.8707641995854,-5.413594193437513
AAPL240607C00172500,172.5,20.1,20.7,0.0,0.0,1.0000000000000003e-05,True,21.849632644649375,1.149632644649376,0.9781036565612147,0.004500438228138457,2.144605321045584,1457.3052053808333,-8.183632295014426
AAPL240607C00175000,175.0,17.85,18.7,0.0,0.0,1.0000000000000003e-05,True,19.434341056639937,0.7343410566399378,0.9620943109642921,0.007100749005048254,3.383738055645883,1451.2920964718567,-12.108662320351625
AAPL240607C00177500,177.5,15.5,16.7,0.0,0.0,0.12500875,True,17.07411981794985,0.3741198179498504,0.9380234476906183,0.010518338703680538,5.0123308017947545,1431.2291340441484,-17.255811249775824
AAPL240607C00180000,180.0,12.85,13.15,0.26000023,2.0651329,1.0000000000000003e-05,True,14.792916529017504,1.6429165290175032,0.9039810220633292,0.014665337109362438,6.9885105417112605,1393.6929372001464,-23.489007996671003
AAPL240607C00182500,182.5,10.25,11.2,0.7800007,7.7457867,1.0000000000000003e-05,True,12.618550028475312,1.4185500284753125,0.8585847071282166,0.019292651155308104,9.193576320202986,1336.1150293459077,-30.429280912636845
AAPL240607C00185000,185.0,8.4,8.75,0.4499998,5.9999976,1.0000000000000003e-05,True,10.580616423961516,1.8306164239615157,0.8013709129520895,0.024002028681331018,11.437748018410886,1257.4583141530827,-37.47363468528702
AAPL240607C00187500,187.5,6.05,6.3,0.41000032,7.334532,1.0000000000000003e-05,True,8.707608414777013,2.4076084147770134,0.7330708565275227,0.028301710385062347,13.486686320234602,1158.7068429697879,-43.87963989025853
AAPL240607C00190000,190.0,3.5,3.7,0.25,7.5757575,1.0000000000000003e-05,True,7.023725626102248,3.323725626102248,0.6556788911668534,0.031695151689581265,15.10377157047198,1043.0085084484103,-48.89968345477856
AAPL240607C00192500,192.5,2.01,2.06,0.22000003,12.500002,0.10913976806640624,True,5.545992147301689,3.485992147301689,0.5722730600494623,0.03377940911143442,16.096988082008,915.3979184399283,-51.92943061689208
AAPL240607C00195000,195.0,0.89,0.92,0.029999971,3.5294082,0.14087773193359376,False,4.282263386310987,3.362263386310987,0.4866179496030782,0.03432522506950582,16.357087154287836,782.1450388396725,-52.62826703208561
AAPL240607C00197500,197.5,0.35,0.36,0.00999999,2.777775,0.15869981933593752,False,3.230504159250941,2.8705041592509413,0.40264125775013565,0.0333166791735276,15.876482203083285,649.8802008689846,-50.978408199353446
AAPL240607C00200000,200.0,0.13,0.14,-0.019999996,-11.764703,0.1757894921875,False,2.379420989702794,2.239420989702794,0.32390604551762336,0.030941813866748814,14.744781574055644,524.7001000195833,-47.26988188672118
AAPL240607C00202500,202.5,0.06,0.07,-0.029999997,-33.333332,0.20117986328124998,False,1.7102320173713252,1.6402320173713252,0.25319194822313473,0.027541040078444146,13.124202156595821,411.4473767999201,-42.02185369235313
AAPL240607C00205000,205.0,0.02,0.03,-0.01,-25.0,0.21680470703125,False,1.1991460337901074,1.1691460337901074,0.19225797419319152,0.02353141459136341,11.213485084371897,313.28977086263785,-35.86776319687877
AAPL240607C00207500,207.5,0.01,0.02,-0.02,-50.0,0.24414818359375,False,0.8200453078386154,0.8000453078386154,0.14180477049783785,0.019328632392859292,9.210722551213916,231.63333168913852,-29.437322473928663
AAPL240607C00210000,210.0,0.0,0.0,0.01,100.0,0.12500875,False,0.5469216851172298,0.5469216851172298,0.10160494932787201,0.015284919691573348,7.283761811760645,166.32071586537424,-23.262820720600548
AAPL240607C00212500,212.5,0.01,0.02,0.0,0.0,0.32031929687499994,False,0.35575951424805474,0.3357595142480547,0.07073977853360361,0.011652806278538536,5.552941532185895,116.01335538763999,-17.724723262330343
