contractSymbol,strike,bid,ask,change,percentChange,impliedVolatility,inTheMoney,bsmValuation,diff,delta,gamma,vega,rho,theta
AAPL240607C00100000,100.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,92.28706910256783,92.28706910256783,1.0,5.4843428252641255e-28,2.591156456070736e-25,867.8164882659912,-0.8210507671246997
AAPL240607C00110000,110.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,82.29077601282461,82.29077601282461,1.0,4.931331920843187e-21,2.3298785197851206e-18,954.5981370925904,-0.9031558438371696
AAPL240607C00120000,120.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,72.29448292308139,72.29448292308139,0.9999999999999982,1.2294653806951593e-15,5.808785592374602e-13,1041.3797859191866,-0.9852609205514589
AAPL240607C00125000,125.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,67.2963363782103,67.2963363782103,0.9999999999996786,2.0352290959519613e-13,9.615731874502131e-11,1084.7706103319483,-1.026313459206987
AAPL240607C00130000,130.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,62.298189833391035,62.298189833391035,0.9999999999690804,1.7871413784223692e-11,8.443605857894667e-09,1128.1614346937254,-1.0673660236985365
AAPL240607C00135000,135.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,57.30004329163694,57.30004329163694,0.9999999983096943,8.873944088756906e-10,4.1926222063417094e-07,1171.5522563104516,-1.1084198480541185
AAPL240607C00140000,140.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,52.30189685850874,52.30189685850874,0.9999999444338039,2.634642644530104e-08,1.2447747187439326e-05,1214.9429898350245,-1.1495100310603654
AAPL240607C00145000,145.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,47.30375284606305,47.30375284606305,0.9999988453119105,4.911652937891304e-07,0.00023205809019393177,1258.3319578334529,-1.1912496810914217
AAPL240607C00150000,150.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,42.30564420729149,42.30564420729149,0.9999841442303437,6.002804896270845e-06,0.002836111300309921,1301.697917124806,-1.2404470211045477
AAPL240607C00155000,155.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,37.30788727809443,37.30788727809443,0.999850306731858,4.996380925219683e-05,0.02360611855213147,1344.861984901588,-1.34643584457397
AAPL240607C00160000,160.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,32.31258858289243,32.31258858289243,0.9989929680477784,0.0002929717194986504,0.1384186923778808,1386.797191309287,-1.7462523215929853
AAPL240607C00165000,165.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,27.32972358538339,27.32972358538339,0.9950127176168708,0.001247249909071114,0.5892811148376034,1423.4123291847122,-3.1951479050153067
AAPL240607C00167500,167.5,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,24.85198714346825,24.85198714346825,0.9900113137679047,0.002301871485364566,1.0875522100608799,1436.575185773174,-4.770565325746913
AAPL240607C00170000,170.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,22.39356539436514,22.39356539436514,0.9812619045976358,0.0039603725276898035,1.871134823354957,1443.3149586746406,-7.234863593772895
AAPL240607C00172500,172.5,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,19.967226821585285,19.967226821585285,0.9669613342012624,0.006370780322550398,3.0099665700949068,1440.5113400165155,-10.80446905613553
AAPL240607C00175000,175.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,17.590784064563593,17.590784064563593,0.9450619756622246,0.009608577615075865,4.539710356228785,1424.5922105652307,-15.587868573248977
AAPL240607C00177500,177.5,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,15.28718790601647,15.28718790601647,0.9135578939106175,0.013623287748042228,6.43651776082195,1392.0104284178317,-21.506899044400818
AAPL240607C00180000,180.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,13.08368767728868,13.08368767728868,0.8708747982432736,0.018203281640920284,8.60040158836586,1339.901946994326,-28.24521351217359
AAPL240607C00182500,182.5,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,11.009945733306438,11.009945733306438,0.8162813278824377,0.022977176314604653,10.855896621852068,1266.7886179058892,-35.25101872517225
AAPL240607C00185000,185.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,9.095264907388326,9.095264907388326,0.7502101050806803,0.027460354781759018,12.974038612424089,1173.138096791038,-41.80654799794741
AAPL240607C00187500,187.5,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,7.3653637232644655,7.3653637232644655,0.6743848094764758,0.03113963928426823,14.712369365286648,1061.6039255111352,-47.15377527520332
AAPL240607C00190000,190.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,5.839312782926285,5.839312782926285,0.5916964754202501,0.03357448557493453,15.862747430008744,936.8456692875852,-50.64421629952053
AAPL240607C00192500,192.5,0.0,0.0,0.0,0.0,0.0039162109375,False,4.527254470229934,4.527254470229934,0.5058428648043111,0.03448590001167219,16.29335825744095,804.9468275669456,-51.87015426511405
AAPL240607C00195000,195.0,0.0,0.0,0.0,0.0,0.0312596875,False,3.4293571031378463,3.4293571031378463,0.42081271439731904,0.033807910969761205,15.973032606936368,672.5631243517579,-50.740115357314174
AAPL240607C00197500,197.5,0.0,0.0,0.0,0.0,0.062509375,False,2.5361613640966496,2.5361613640966496,0.3403368634538002,0.03168912606391486,14.971982278259187,546.00343494712,-47.480307032047676
AAPL240607C00200000,200.0,0.0,0.0,0.0,0.0,0.062509375,False,1.8301596103671187,1.8301596103671187,0.2674282089079196,0.02844804861171208,13.440688733622677,430.448262476413,-42.56765698293996
AAPL240607C00202500,202.5,0.0,0.0,0.0,0.0,0.12500875,False,1.2882048913179247,1.2882048913179247,0.204096308723544,0.02449890570321717,11.57485950497672,329.45249844649027,-36.61941886146176
AAPL240607C00205000,205.0,0.0,0.0,0.0,0.0,0.12500875,False,0.8842362451609098,0.8842362451609098,0.15126720914460662,0.020270431130547474,9.57705602379548,244.78795541407555,-30.272658463319864
AAPL240607C00207500,207.5,0.0,0.0,0.0,0.0,0.12500875,False,0.5918374473197971,0.5918374473197971,0.10888549829330402,0.016137700323918838,7.624488058593106,176.5914805461722,-24.083372284090427
AAPL240607C00210000,210.0,0.0,0.0,0.0,0.0,0.12500875,False,0.38628047879553584,0.38628047879553584,0.0761395707468105,0.01237926088526723,5.848759420450583,123.7231811391031,-18.46329329278667
AAPL240607C00212500,212.5,0.0,0.0,0.0,0.0,0.2500075,False,0.2458834106390313,0.2458834106390313,0.05173890185505027,0.009162364021283113,4.328890341656313,84.21740599746917,-13.658430387938113
AAPL240607C00215000,215.0,0.0,0.0,0.0,0.0,0.2500075,False,0.15267899355662173,0.15267899355662173,0.03418076505316676,0.006551491771981879,3.0953462871912265,55.72209124748479,-9.76212153928467
AAPL240607C00220000,220.0,0.0,0.0,0.0,0.0,0.2500075,False,0.05471291336643258,0.05471291336643258,0.013737090033761912,0.0030351966185701625,1.4340221908489796,22.452162920595942,-4.519445994006375
AAPL240607C00225000,225.0,0.0,0.0,0.0,0.0,0.2500075,False,0.017829491632574745,0.017829491632574745,0.004965476248683086,0.0012423908765802185,0.5869853952208351,8.132574758263427,-1.8489349394652062
AAPL240607C00230000,230.0,0.0,0.0,0.0,0.0,0.2500075,False,0.00530267356438735,0.00530267356438735,0.0016224882576409403,0.00045315918992115575,0.2141015611173865,2.6618916780383572,-0.6741066898769599
AAPL240607C00235000,235.0,0.0,0.0,0.0,0.0,0.500005,False,0.0014450394684274587,0.0014450394684274587,0.00048175741376730306,0.00014844499415947698,0.0701349673502927,0.7915061979053422,-0.22074640612833193
AAPL240607C00240000,240.0,0.0,0.0,0.0,0.0,0.500005,False,0.00036231872682515945,0.00036231872682515945,0.0001306678007113827,4.398826799166007e-05,0.020782888347697412,0.21493859346624078,-0.06539458293880267
AAPL240607C00245000,245.0,0.0,0.0,0.0,0.0,0.500005,False,8.393556346234995e-05,8.393556346234995e-05,3.2540079440021005e-05,1.1870182914477583e-05,0.005608238229000181,0.0535805817628698,-0.017642469946061373
AAPL240607C00250000,250.0,0.0,0.0,0.0,0.0,0.500005,False,1.8040412770694994e-05,1.8040412770694994e-05,7.476822399002782e-06,2.9349498747252884e-06,0.0013866591783988588,0.012322170050442111,-0.004361294822193772
AAPL240607C00255000,255.0,0.0,0.0,0.0,0.0,0.500005,False,3.6120318556683907e-06,3.6120318556683907e-06,1.5926096315875231e-06,6.68714756907706e-07,0.00031594388148916026,0.0026267014824300724,-0.0009935297550869528
AAPL240607C00260000,260.0,0.0,0.0,0.0,0.0,0.500005,False,6.763369295665272e-07,6.763369295665272e-07,3.1589312273183964e-07,1.411467304483258e-07,6.668679794590369e-05,0.0005213527805605089,-0.0002096746823049596
AAPL240607C00265000,265.0,0.0,0.0,0.0,0.0,0.500005,False,1.1888183711888691e-07,1.1888183711888691e-07,5.8593735719262454e-08,2.7734329519060246e-08,1.3103481907997826e-05,9.676064473028776e-05,-4.11942097836854e-05
AAPL240614C00100000,100.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,92.37351024609335,92.37351024609335,1.0,4.688301216968501e-28,2.2150551767826745e-25,867.8164882659912,-2.7344692608872454
AAPL240614C00120000,120.0,70.6,74.2,0.0,0.0,1.0742233789062503,True,72.39821229531202,-1.8017877046879818,0.9999999999999984,1.0978166302275021e-15,5.186792182085765e-13,1041.3797859191868,-3.2813631130663135
AAPL240614C00125000,125.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,67.40438780761714,67.40438780761714,0.9999999999997108,1.8351162966636504e-13,8.670270242472732e-11,1084.770610332002,-3.418086576379489
AAPL240614C00130000,130.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,62.41056331996924,62.41056331996924,0.9999999999719172,1.6265963585812976e-11,7.685087876971105e-09,1128.1614346984618,-3.5548100631106783
AAPL240614C00135000,135.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,57.41673883512459,57.41673883512459,0.9999999984511792,8.149942131405515e-10,3.8505570937530265e-07,1171.5522565466902,-3.691534701798976
AAPL240614C00140000,140.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,52.42291445046271,52.42291445046271,0.9999999486524854,2.440810365858331e-08,1.1531958776179535e-05,1214.9429968789943,-3.8282928652236237
AAPL240614C00145000,145.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,47.42909231656486,47.42909231656486,0.9999989242854831,4.588619144848523e-07,0.00021679589515907798,1258.332089696403,-3.9656547386620664
AAPL240614C00150000,150.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,42.43530333294024,42.43530333294024,0.999985113286291,5.653626399307406e-06,0.002671136909474987,1301.6995351679916,-4.110003248689289
AAPL240614C00155000,155.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,37.441846471862334,37.441846471862334,0.9998584039503475,4.742764645611359e-05,0.022407872050755798,1344.8755049224226,-4.307959390591903
AAPL240614C00160000,160.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,32.45072815561855,32.45072815561855,0.99904062654059,0.0002802185174877249,0.13239325910737906,1386.8767672981282,-4.7853036966820826
AAPL240614C00165000,165.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,27.471523347702743,27.471523347702743,0.9952163533864246,0.001201761556226542,0.5677894898782246,1423.7523425875654,-6.267237410093384
AAPL240614C00167500,167.5,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,24.995112467369353,24.995112467369353,0.9903878072199378,0.0022259050451024966,1.0516607754074867,1437.2038221528308,-7.827417650263301
AAPL240614C00170000,170.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,22.537384792146923,22.537384792146923,0.9819108036296212,0.0038432550965327382,1.8158010126268802,1444.3984347354854,-10.247023056132218
AAPL240614C00172500,172.5,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,20.110800055924187,20.110800055924187,0.9680069875416892,0.006203988250274836,2.931163262448393,1442.2572829003668,-13.738915822706279
AAPL240614C00175000,175.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,17.732816157831678,17.732816157831678,0.9466417599695949,0.009389247813071487,4.436084844370854,1427.2300004967115,-18.412164343294517
AAPL240614C00177500,177.5,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,15.426029901792248,15.426029901792248,0.9158015386292757,0.013357519231852742,6.310951612153707,1395.7566771097236,-24.19402627712952
AAPL240614C00180000,180.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,13.217402461752215,13.217402461752215,0.8738777299780908,0.017907920411333975,8.460853937662844,1344.915990305433,-30.777586537044144
AAPL240614C00182500,182.5,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,11.13644386839573,11.13644386839573,0.8200780294007775,0.02267898897854651,10.71501373659801,1273.1280328700627,-37.6221745906121
AAPL240614C00185000,185.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,9.212496864487633,9.212496864487633,0.7547549664595943,0.027192257582468387,12.847372244013222,1180.7267283571284,-44.019747330305
AAPL240614C00187500,187.5,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,7.471537191444071,7.471537191444071,0.6795468770946321,0.03093469459030291,14.615540304116477,1070.2231187200116,-49.21789694921393
AAPL240614C00190000,190.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,True,5.93309345782518,5.93309345782518,0.5972709795836149,0.03345925782188485,15.808306424815232,946.1535170234196,-52.568394511768695
AAPL240614C00192500,192.5,0.0,0.0,0.0,0.0,0.00196310546875,False,4.607910097804222,4.607910097804222,0.5115776424669405,0.03447507436991596,16.288243527669035,814.5222889424678,-53.659081923737816
AAPL240614C00195000,195.0,0.0,0.0,0.0,0.0,0.015634843750000002,False,3.4968174111457415,3.4968174111457415,0.4264434235572411,0.03390167744047818,16.017333921369527,681.9648227671775,-52.39161422516872
AAPL240614C00197500,197.5,0.0,0.0,0.0,0.0,0.0312596875,False,2.5909864838203944,2.5909864838203944,0.34562273453228415,0.03187390380287346,15.059283172184918,554.8293528267607,-48.98582452670282
